epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,721.402,1.85563,1.42054,1.08011,0.63992,0.62557,0.6664,0.41278,1.31119,8.57554,0.9233,0.000475896,0.000475896,0.000475896
2,1410.81,1.25641,0.73331,0.9044,0.68853,0.64697,0.68607,0.48272,1.00214,11.1628,0.86944,0.000889382,0.000889382,0.000889382
3,2086.07,1.09915,0.63326,0.87392,0.76614,0.68207,0.66907,0.48326,0.89928,11.3777,0.84717,0.00123999,0.00123999,0.00123999
4,2997.06,1.01299,0.59024,0.85811,0.91461,0.6761,0.68711,0.50797,0.82993,10.6527,0.83626,0.00114606,0.00114606,0.00114606
5,4083.75,0.96083,0.55363,0.84796,0.92899,0.67323,0.70779,0.53944,0.79313,14.578,0.83002,0.00105174,0.00105174,0.00105174
6,5223.65,0.90004,0.52155,0.83959,0.83147,0.67884,0.69959,0.55023,0.72595,13.0706,0.82161,0.00095743,0.00095743,0.00095743
7,6379.52,0.85381,0.49756,0.83241,0.83159,0.6788,0.70587,0.55746,0.71255,5.08502,0.81931,0.000863116,0.000863116,0.000863116
8,7514.38,0.82869,0.4795,0.82793,0.95412,0.73325,0.75468,0.58341,0.67612,5.49671,0.81393,0.000768802,0.000768802,0.000768802
9,8659.54,0.78961,0.46316,0.823,0.87203,0.69265,0.71006,0.57877,0.6524,1.39608,0.81119,0.000674488,0.000674488,0.000674488
10,9478.72,0.75996,0.44057,0.81882,0.76118,0.7552,0.72989,0.59347,0.65105,0.54413,0.81102,0.000580174,0.000580174,0.000580174
11,10175.5,0.73953,0.42584,0.81611,0.90631,0.73976,0.75703,0.59666,0.60897,0.40937,0.80641,0.00048586,0.00048586,0.00048586
12,10849.5,0.70734,0.4075,0.81329,0.9231,0.74016,0.75803,0.61885,0.59227,0.38513,0.80528,0.000391546,0.000391546,0.000391546
13,11817.9,0.68288,0.39404,0.81006,0.97563,0.74992,0.75859,0.60785,0.56229,0.37692,0.80145,0.000297232,0.000297232,0.000297232
14,12880.6,0.65838,0.3855,0.80685,0.86497,0.70056,0.71263,0.61015,0.55127,0.41763,0.80096,0.000202918,0.000202918,0.000202918
15,13932.7,0.63677,0.37146,0.80583,0.86847,0.70152,0.71557,0.61073,0.53861,0.33711,0.79966,0.000108604,0.000108604,0.000108604
